Name,Party,Location 1,Grade Level (since 1996),Grade Level (112th Congress),Years in Congress,DW1 Score
Rep. Mick Mulvaney,R,"SC (33.99855000018255, -81.0452500001872)",7.945704026,7.945704026,1,0.819
Rep. Rob Woodall,R,"GA (32.83967999993223, -83.62758000031658)",8.0191087,8.0191087,1,0.688
Sen. Rand Paul,R,"KY (37.645969999815804, -84.77496999996538)",8.039832522,8.039832522,1,0.941
Rep. Sean Duffy,R,"WI (44.39319000021851, -89.8163600002137)",8.088706095,8.088706095,1,0.475
Rep. Tim Griffin,R,"AR (34.748649999697875, -92.27448999971358)",8.129156251,8.129156251,1,0.441
Rep. W. Todd Akin,R,"MO (38.63578999960896, -92.5663000000448)",8.140423512,7.709250144,11,0.623
Rep. Vicky Hartzler,R,"MO (38.63578999960896, -92.5663000000448)",8.44408234,8.44408234,1,0.559
Rep. Tom Graves,R,"GA (32.83967999993223, -83.62758000031658)",8.600184256,8.376188223,3,0.914
Rep. David Schweikert,R,"AZ (34.86596999961597, -111.76380999973156)",8.606102568,8.606102568,1,0.622
Sen. Ron Johnson,R,"WI (44.39319000021851, -89.8163600002137)",8.62470174,8.62470174,1,0.679
Rep. Phil Roe,R,"TN (35.68094000038087, -85.77449000011325)",8.642390533,8.543112423,3,0.471
Rep. Jeff Landry,R,"LA (31.312679999782347, -92.44565000034709)",8.644177038,8.644177038,1,0.598
Rep. John Campbell,R,"CA (37.638300000444815, -120.99958999997835)",8.873045579,8.152157047,5,0.757
Rep. Joe Walsh,R,"IL (40.485010000411364, -88.99770999971656)",8.907015863,8.907015863,1,0.719
Rep. John Garamendi,D,"CA (37.638300000444815, -120.99958999997835)",8.923919506,8.931497241,3,-0.501
Rep. Roscoe Bartlett,R,"MD (39.29057999976732, -76.6092600004485)",8.928747175,7.803678628,19,0.502
Rep. John Lewis,D,"GA (32.83967999993223, -83.62758000031658)",8.938711508,7.00991988,25,-0.634
Rep. Adam Kinzinger,R,"IL (40.485010000411364, -88.99770999971656)",8.995621754,8.995621754,1,0.303
Rep. Paul Gosar,R,"AZ (34.86596999961597, -111.76380999973156)",9.00615631,9.00615631,1,0.446
Rep. Colleen Hanabusa,D,"HI (21.304770000335395, -157.85761000030112)",9.007790571,9.007790571,1,-0.455
Sen. Tom Coburn,R,"OK (35.4720099999617, -97.52034999975251)",9.086211896,9.207584574,5,0.797
Rep. Jeff Flake,R,"AZ (34.86596999961597, -111.76380999973156)",9.140565697,8.969179007,11,0.988
Rep. Jack Kingston,R,"GA (32.83967999993223, -83.62758000031658)",9.245243859,8.152576941,19,0.542
Rep. John Carter,R,"TX (31.82724000022597, -99.42676999973554)",9.258185204,9.199844271,9,0.513
Rep. Keith Ellison,D,"MN (46.3556499998478, -94.79419999982997)",9.300842411,8.87164922,5,-0.634
Rep. Paul Broun,R,"GA (32.83967999993223, -83.62758000031658)",9.305255208,9.736146631,5,0.954
Rep. Jason Chaffetz,R,"UT (39.36070000030492, -111.58712999994941)",9.339565934,8.866547873,3,0.706
Sen. Jeff Sessions,R,"AL (32.840569999605975, -86.63186000013877)",9.352769181,8.673607537,13,0.522
Rep. Tim Ryan,D,"OH (40.06020999969189, -82.40426000019869)",9.35688064,10.42791318,9,-0.433
Rep. Louie Gohmert,R,"TX (31.82724000022597, -99.42676999973554)",9.369565081,10.09761887,5,0.54
Sen. Jim Risch,R,"ID (43.682590000228515, -114.36368000023168)",9.384067765,9.100353664,3,0.527
Rep. Bill Cassidy,R,"LA (31.312679999782347, -92.44565000034709)",9.385173006,9.285165569,3,0.43
Rep. Bill Huizenga,R,"MI (44.661320000317914, -84.71438999959867)",9.38648322,9.38648322,1,0.616
Sen. Marco Rubio,R,"FL (28.932039999846268, -81.9289599999039)",9.394009604,9.394009604,1,0.566
Sen. Barbara Boxer,D,"CA (37.638300000444815, -120.99958999997835)",9.406367725,8.453452858,17,-0.494
Sen. Lindsey Graham,R,"SC (33.99855000018255, -81.0452500001872)",9.421858701,9.385953338,7,0.431
Rep. Todd Young,R,"IN (39.76690999989677, -86.14996000035359)",9.424087163,9.424087163,1,0.582
Sen. John Hoeven,R,"ND (47.475320000018144, -100.11841999998285)",9.440101193,9.440101193,1,0.311
Sen. Mike Johanns,R,"NE (41.6410400000961, -99.36572999973953)",9.473773277,9.508552296,3,0.41
Rep. Mike Pompeo,R,"KS (38.34774000000118, -98.20077999969709)",9.486647309,9.486647309,1,0.679
Rep. Jaime Herrera,R,"WA (47.521729999839806, -120.46997999977702)",9.488441317,9.488441317,1,0.397
Rep. Richard Nugent,R,"FL (28.932039999846268, -81.9289599999039)",9.492296727,9.492296727,1,0.528
Sen. Kent Conrad,D,"ND (47.475320000018144, -100.11841999998285)",9.511404005,9.55559028,23,-0.326
Rep. Michele Bachmann,R,"MN (46.3556499998478, -94.79419999982997)",9.526568451,10.67842147,5,0.579
Rep. Jim Jordan,R,"OH (40.06020999969189, -82.40426000019869)",9.535927071,9.816813118,5,0.67
Rep. Lynn Westmoreland,R,"GA (32.83967999993223, -83.62758000031658)",9.548203993,11.00028914,5,0.687
