supplier_name,phone
"Borer, Wisozk and Welch","1 (855) 645-4869"
"Cartwright, Bashirian and Trantow","1 (222) 746-9975"
Gusikowski-Jenkins,"1 (681) 444-4251"
"Hessel, Schmeler and Hudson","1 (655) 378-9744"
"Hoeger, Beier and Tromp","1 (128) 438-3168"
"Jakubowski, Franecki and Ritchie","1 (337) 742-2152"
"Johns, Blick and Lindgren","1 (212) 492-2124"
"Konopelski, Legros and Hessel","1 (477) 728-3838"
"Kunde Inc","1 (256) 853-4392"
"Langosh LLC","1 (872) 341-1366"
"Leffler, Bogan and Hayes","1 (343) 546-9821"
"Little Inc","1 (632) 316-5283"
Lowe-Cormier,"1 (782) 655-7721"
"Macejkovic, Renner and Huels","1 (382) 751-7615"
Nader-Muller,"1 (697) 151-6569"
Okuneva-Kling,"1 (557) 638-9318"
"Raynor and Sons","1 (681) 494-1668"
Runolfsdottir-Hodkiewicz,"1 (934) 296-2361"
Sawayn-Schinner,"1 (266) 776-2163"
"Schinner, Gleichner and Schamberger","1 (843) 345-9265"
"Schoen LLC","1 (817) 548-9729"
Shanahan-Runte,"1 (239) 193-6574"
"Thiel Inc","1 (732) 288-4868"
Thiel-Schmitt,"1 (543) 678-1332"
"Torp Group","1 (858) 462-2864"
"Trantow, Pouros and Fadel","1 (271) 875-6658"
