invoice_number,ordered_on,expected_on,received_on,part_name,part_code,suppliers_name,phone
5e51bb6b,2016-05-10,2016-05-18,,"Mediocre Paper Hat",d0554-171-6737,"Abshire, Gleichner and Bradtke","1 (447) 874-6244"
23589a06,2016-05-07,2016-05-19,2016-05-21,"Rustic Silk Gloves",b3a62-340-0308,"Bauch LLC","1 (848) 218-8528"
1708b39b,2016-05-07,2016-05-14,2016-05-16,"Practical Rubber Bench",83535-389-9501,"Bechtelar, Pacocha and Ritchie","1 (515) 538-3796"
1708b39b,2016-05-07,2016-05-14,2016-05-15,"Lightweight Wool Wallet",8e717-756-8048,"Bechtelar, Pacocha and Ritchie","1 (515) 538-3796"
1708b39b,2016-05-07,2016-05-14,2016-05-15,"Durable Aluminum Pants",8e647-475-7620,"Bechtelar, Pacocha and Ritchie","1 (515) 538-3796"
7d4b65cd,2016-05-07,2016-05-17,2016-05-18,"Synergistic Marble Bench",42b63-250-5430,"Bechtelar, Pacocha and Ritchie","1 (515) 538-3796"
7d4b65cd,2016-05-07,2016-05-17,2016-05-18,"Enormous Rubber Shirt",c4557-742-7147,"Bechtelar, Pacocha and Ritchie","1 (515) 538-3796"
63a6164b,2016-05-10,2016-05-23,2016-05-25,"Practical Linen Coat",b0704-692-5323,"Becker and Sons","1 (354) 715-2828"
16455c21,2016-05-06,2016-05-16,2016-05-17,"Mediocre Rubber Shoes",1a730-811-2423,Bednar-King,"1 (542) 132-2971"
23241cb5,2016-05-10,2016-05-16,2016-05-17,"Intelligent Plastic Bench",25341-627-9974,Bednar-King,"1 (542) 132-2971"
23241cb5,2016-05-10,2016-05-16,,"Small Marble Chair",a2a01-814-2072,Bednar-King,"1 (542) 132-2971"
23241cb5,2016-05-10,2016-05-16,2016-05-18,"Aerodynamic Concrete Hat",69484-431-1022,Bednar-King,"1 (542) 132-2971"
23241cb5,2016-05-10,2016-05-16,,"Practical Iron Shirt",4da69-046-7244,Bednar-King,"1 (542) 132-2971"
212d5515,2016-05-06,2016-05-15,,"Synergistic Iron Plate",b5399-690-5807,"Borer, Wisozk and Welch","1 (855) 645-4869"
212d5515,2016-05-06,2016-05-15,2016-05-17,"Mediocre Concrete Shoes",c5b26-801-9775,"Borer, Wisozk and Welch","1 (855) 645-4869"
29487e59,2016-05-08,2016-05-29,2016-05-31,"Rustic Plastic Shirt",0d345-932-3797,"Borer, Wisozk and Welch","1 (855) 645-4869"
